pos	best	average	value1	value2	value3	value4	value5	competitionId	eventId	roundTypeId	personName	personId	formatId	regionalSingleRecord	regionalAverageRecord	personCountryId
5	2281	2894	0	0	0	0	0	LyonOpen2007	333oh	d	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
6	2669	3082	0	0	0	0	0	LyonOpen2007	333oh	d	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
7	3303	4194	0	0	0	0	0	LyonOpen2007	333oh	d	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
8	3544	4239	0	0	0	0	0	LyonOpen2007	333oh	d	Clément Gallet	2004GALL02	a	NULL	NULL	France
9	4527	4764	0	0	0	0	0	LyonOpen2007	333oh	d	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
10	4494	4938	0	0	0	0	0	LyonOpen2007	333oh	d	Gilles Roux	2004ROUX01	a	NULL	NULL	France
11	5388	5906	0	0	0	0	0	LyonOpen2007	333oh	d	Stefan Huber	2007HUBE01	a	NR	NR	Austria
12	5704	6795	0	0	0	0	0	LyonOpen2007	333oh	d	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
13	6084	0	0	0	0	0	0	LyonOpen2007	333oh	d	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
14	6684	0	0	0	0	0	0	LyonOpen2007	333oh	d	Christophe Woittequand	2005WOIT01	a	NULL	NULL	France
15	7259	0	0	0	0	0	0	LyonOpen2007	333oh	d	Etienne Amany	2007AMAN01	a	NR	NULL	Cote d_Ivoire
16	8467	0	0	0	0	0	0	LyonOpen2007	333oh	d	Irène Mallordy	2007MALL01	a	NULL	NULL	France
17	13775	0	0	0	0	0	0	LyonOpen2007	333oh	d	Laetitia Lemoine	2007LEMO01	a	NULL	NULL	France
1	2094	2186	0	0	0	0	0	LyonOpen2007	333oh	f	Rama Temmink	2006TEMM01	a	NULL	ER	Netherlands
2	2273	2507	0	0	0	0	0	LyonOpen2007	333oh	f	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
3	2414	2581	0	0	0	0	0	LyonOpen2007	333oh	f	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
4	2457	2673	0	0	0	0	0	LyonOpen2007	333oh	f	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
5	2672	2817	0	0	0	0	0	LyonOpen2007	333oh	f	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
6	3031	3334	0	0	0	0	0	LyonOpen2007	333oh	f	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
7	3618	4012	0	0	0	0	0	LyonOpen2007	333oh	f	Clément Gallet	2004GALL02	a	NULL	NULL	France
8	3571	4280	0	0	0	0	0	LyonOpen2007	333oh	f	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
1	6249	6611	0	0	0	0	0	LyonOpen2007	444	c	Jean Pons	2004PONS01	a	NULL	NULL	France
2	6696	7105	0	0	0	0	0	LyonOpen2007	444	c	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
3	5819	7269	0	0	0	0	0	LyonOpen2007	444	c	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
4	6822	7605	0	0	0	0	0	LyonOpen2007	444	c	Frédérick Badie	2003BADI01	a	NULL	NULL	France
5	7667	8703	0	0	0	0	0	LyonOpen2007	444	c	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
6	7943	8726	0	0	0	0	0	LyonOpen2007	444	c	Clément Gallet	2004GALL02	a	NULL	NULL	France
7	8490	8833	0	0	0	0	0	LyonOpen2007	444	c	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
8	7131	9390	0	0	0	0	0	LyonOpen2007	444	c	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
9	8516	9537	0	0	0	0	0	LyonOpen2007	444	c	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
10	8346	9641	0	0	0	0	0	LyonOpen2007	444	c	Gilles Roux	2004ROUX01	a	NULL	NULL	France
11	8890	10391	0	0	0	0	0	LyonOpen2007	444	c	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
12	10171	11797	0	0	0	0	0	LyonOpen2007	444	c	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
13	12331	0	0	0	0	0	0	LyonOpen2007	444	c	Cyrille Cornu	2007CORN01	a	NULL	NULL	France
14	13936	0	0	0	0	0	0	LyonOpen2007	444	c	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
15	18544	0	0	0	0	0	0	LyonOpen2007	444	c	Jean-Louis Mathieu	2006MATH01	a	NULL	NULL	France
16	25774	0	0	0	0	0	0	LyonOpen2007	444	c	Maria Oey	2007OEYM01	a	NR	NULL	Indonesia
1	11108	11731	0	0	0	0	0	LyonOpen2007	555	c	Frédérick Badie	2003BADI01	a	NULL	NULL	France
2	12051	12294	0	0	0	0	0	LyonOpen2007	555	c	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
3	12453	13688	0	0	0	0	0	LyonOpen2007	555	c	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
4	13281	14193	0	0	0	0	0	LyonOpen2007	555	c	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
5	13795	16272	0	0	0	0	0	LyonOpen2007	555	c	Clément Gallet	2004GALL02	a	NULL	NULL	France
6	15528	16968	0	0	0	0	0	LyonOpen2007	555	c	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
7	15560	18032	0	0	0	0	0	LyonOpen2007	555	c	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
8	18853	19691	0	0	0	0	0	LyonOpen2007	555	c	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
9	27100	0	0	0	0	0	0	LyonOpen2007	555	c	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
10	30156	0	0	0	0	0	0	LyonOpen2007	555	c	Gilles Roux	2004ROUX01	a	NULL	NULL	France
1	16910	-1	0	0	0	0	0	LyonOpen2007	333bf	f	Clément Gallet	2004GALL02	3	NULL	NULL	France
2	21930	-1	0	0	0	0	0	LyonOpen2007	333bf	f	Joël van Noort	2004NOOR01	3	NULL	NULL	Netherlands
3	21969	-1	0	0	0	0	0	LyonOpen2007	333bf	f	Jean Pons	2004PONS01	3	NULL	NULL	France
