pos	best	average	competition_id	round_type_id	event_id	person_name	person_id	format_id	regional_single_record	regional_average_record	person_country_id
15	7259	0	LyonOpen2007	d	333oh	Etienne Amany	2007AMAN01	a	NR	NULL	Cote d_Ivoire
16	8467	0	LyonOpen2007	d	333oh	Irène Mallordy	2007MALL01	a	NULL	NULL	France
17	13775	0	LyonOpen2007	d	333oh	Laetitia Lemoine	2007LEMO01	a	NULL	NULL	France
1	2094	2186	LyonOpen2007	f	333oh	Rama Temmink	2006TEMM01	a	NULL	ER	Netherlands
2	2273	2507	LyonOpen2007	f	333oh	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
3	2414	2581	LyonOpen2007	f	333oh	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
4	2457	2673	LyonOpen2007	f	333oh	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
5	2672	2817	LyonOpen2007	f	333oh	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
6	3031	3334	LyonOpen2007	f	333oh	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
7	3618	4012	LyonOpen2007	f	333oh	Clément Gallet	2004GALL02	a	NULL	NULL	France
8	3571	4280	LyonOpen2007	f	333oh	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
1	6249	6611	LyonOpen2007	c	444	Jean Pons	2004PONS01	a	NULL	NULL	France
2	6696	7105	LyonOpen2007	c	444	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
3	5819	7269	LyonOpen2007	c	444	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
4	6822	7605	LyonOpen2007	c	444	Frédérick Badie	2003BADI01	a	NULL	NULL	France
5	7667	8703	LyonOpen2007	c	444	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
6	7943	8726	LyonOpen2007	c	444	Clément Gallet	2004GALL02	a	NULL	NULL	France
7	8490	8833	LyonOpen2007	c	444	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
8	7131	9390	LyonOpen2007	c	444	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
9	8516	9537	LyonOpen2007	c	444	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
10	8346	9641	LyonOpen2007	c	444	Gilles Roux	2004ROUX01	a	NULL	NULL	France
11	8890	10391	LyonOpen2007	c	444	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
12	10171	11797	LyonOpen2007	c	444	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
13	12331	0	LyonOpen2007	c	444	Cyrille Cornu	2007CORN01	a	NULL	NULL	France
14	13936	0	LyonOpen2007	c	444	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
15	18544	0	LyonOpen2007	c	444	Jean-Louis Mathieu	2006MATH01	a	NULL	NULL	France
